# lifecycle trace v1
# frame	phase	type	object	instanceId
2	OnInitialized	CameraComponent	MainCamera	3941016583
2	OnAddedToScene	CameraComponent	MainCamera	3941016583
2	OnInitialized	LightComponent	SunLight	213107178
2	OnAddedToScene	LightComponent	SunLight	213107178
2	OnInitialized	LightComponent	FillLight	3844228977
2	OnAddedToScene	LightComponent	FillLight	3844228977
2	OnInitialized	MeshRenderer	Mesh01	248996555
2	OnAddedToScene	MeshRenderer	Mesh01	248996555
2	OnInitialized	MeshRenderer	Mesh02	777958667
2	OnAddedToScene	MeshRenderer	Mesh02	777958667
2	OnInitialized	MeshRenderer	Mesh03	3063076316
2	OnAddedToScene	MeshRenderer	Mesh03	3063076316
2	OnInitialized	MeshRenderer	Mesh04	2114983186
2	OnAddedToScene	MeshRenderer	Mesh04	2114983186
2	OnInitialized	MeshRenderer	Mesh05	316566465
2	OnAddedToScene	MeshRenderer	Mesh05	316566465
2	OnInitialized	MeshRenderer	Mesh06	1892530650
2	OnAddedToScene	MeshRenderer	Mesh06	1892530650
2	OnInitialized	MeshRenderer	Mesh07	1024273333
2	OnAddedToScene	MeshRenderer	Mesh07	1024273333
2	OnInitialized	MeshRenderer	Mesh08	890436894
2	OnAddedToScene	MeshRenderer	Mesh08	890436894
2	OnInitialized	MeshRenderer	Mesh09	3524528192
2	OnAddedToScene	MeshRenderer	Mesh09	3524528192
2	OnInitialized	MeshRenderer	Mesh10	3982528116
2	OnAddedToScene	MeshRenderer	Mesh10	3982528116
2	OnInitialized	MeshRenderer	Mesh11	1699453543
2	OnAddedToScene	MeshRenderer	Mesh11	1699453543
2	OnInitialized	MeshRenderer	Mesh12	3108902952
2	OnAddedToScene	MeshRenderer	Mesh12	3108902952
64	OnInitialized	ScriptComponent	ScriptHostA	1622150206
64	OnAddedToScene	ScriptComponent	ScriptHostA	1622150206
64	OnBeginSimulation	ScriptComponent	ScriptHostA	1622150206
185	Update	CameraComponent	MainCamera	3941016583
185	Update	LightComponent	SunLight	213107178
185	Update	LightComponent	FillLight	3844228977
186	Update	CameraComponent	MainCamera	3941016583
186	Update	LightComponent	SunLight	213107178
186	Update	LightComponent	FillLight	3844228977
187	Update	CameraComponent	MainCamera	3941016583
187	Update	LightComponent	SunLight	213107178
187	Update	LightComponent	FillLight	3844228977
198	OnEndSimulation	CameraComponent	MainCamera	3941016583
198	OnRemovingFromScene	CameraComponent	MainCamera	3941016583
198	OnUninitializing	CameraComponent	MainCamera	3941016583
198	OnEndSimulation	LightComponent	SunLight	213107178
198	OnRemovingFromScene	LightComponent	SunLight	213107178
198	OnUninitializing	LightComponent	SunLight	213107178
198	OnEndSimulation	LightComponent	FillLight	3844228977
198	OnRemovingFromScene	LightComponent	FillLight	3844228977
198	OnUninitializing	LightComponent	FillLight	3844228977
198	OnEndSimulation	MeshRenderer	Mesh01	248996555
198	OnRemovingFromScene	MeshRenderer	Mesh01	248996555
198	OnUninitializing	MeshRenderer	Mesh01	248996555
198	OnEndSimulation	MeshRenderer	Mesh02	777958667
198	OnRemovingFromScene	MeshRenderer	Mesh02	777958667
198	OnUninitializing	MeshRenderer	Mesh02	777958667
198	OnEndSimulation	MeshRenderer	Mesh03	3063076316
198	OnRemovingFromScene	MeshRenderer	Mesh03	3063076316
198	OnUninitializing	MeshRenderer	Mesh03	3063076316
198	OnEndSimulation	MeshRenderer	Mesh04	2114983186
198	OnRemovingFromScene	MeshRenderer	Mesh04	2114983186
198	OnUninitializing	MeshRenderer	Mesh04	2114983186
198	OnEndSimulation	MeshRenderer	Mesh05	316566465
198	OnRemovingFromScene	MeshRenderer	Mesh05	316566465
198	OnUninitializing	MeshRenderer	Mesh05	316566465
260	OnEndSimulation	ScriptComponent	ScriptHostA	1622150206
260	OnRemovingFromScene	ScriptComponent	ScriptHostA	1622150206
260	OnUninitializing	ScriptComponent	ScriptHostA	1622150206
260	OnEndSimulation	MeshRenderer	Mesh12	3108902952
260	OnRemovingFromScene	MeshRenderer	Mesh12	3108902952
260	OnUninitializing	MeshRenderer	Mesh12	3108902952
260	OnEndSimulation	MeshRenderer	Mesh11	1699453543
260	OnRemovingFromScene	MeshRenderer	Mesh11	1699453543
260	OnUninitializing	MeshRenderer	Mesh11	1699453543
260	OnEndSimulation	MeshRenderer	Mesh10	3982528116
260	OnRemovingFromScene	MeshRenderer	Mesh10	3982528116
260	OnUninitializing	MeshRenderer	Mesh10	3982528116
260	OnEndSimulation	MeshRenderer	Mesh09	3524528192
260	OnRemovingFromScene	MeshRenderer	Mesh09	3524528192
260	OnUninitializing	MeshRenderer	Mesh09	3524528192
260	OnEndSimulation	MeshRenderer	Mesh08	890436894
260	OnRemovingFromScene	MeshRenderer	Mesh08	890436894
260	OnUninitializing	MeshRenderer	Mesh08	890436894
260	OnEndSimulation	MeshRenderer	Mesh07	1024273333
260	OnRemovingFromScene	MeshRenderer	Mesh07	1024273333
260	OnUninitializing	MeshRenderer	Mesh07	1024273333
260	OnEndSimulation	MeshRenderer	Mesh06	1892530650
260	OnRemovingFromScene	MeshRenderer	Mesh06	1892530650
260	OnUninitializing	MeshRenderer	Mesh06	1892530650
323	OnInitialized	Canvas	UICanvas	1646508847
323	OnAddedToScene	Canvas	UICanvas	1646508847
323	OnInitialized	ImageComponent	UIImageA	267598083
323	OnAddedToScene	ImageComponent	UIImageA	267598083
323	OnInitialized	ImageComponent	UIImageB	122368843
323	OnAddedToScene	ImageComponent	UIImageB	122368843
323	OnInitialized	TextComponent	UILabel	805949988
323	OnAddedToScene	TextComponent	UILabel	805949988
323	OnInitialized	ScriptComponent	ScriptHostB	567794954
323	OnAddedToScene	ScriptComponent	ScriptHostB	567794954
323	OnBeginSimulation	ScriptComponent	ScriptHostB	567794954
444	Update	TextComponent	UILabel	805949988
444	Update	Canvas	UICanvas	1646508847
444	Update	ImageComponent	UIImageA	267598083
444	Update	ImageComponent	UIImageB	122368843
445	Update	TextComponent	UILabel	805949988
445	Update	Canvas	UICanvas	1646508847
445	Update	ImageComponent	UIImageA	267598083
445	Update	ImageComponent	UIImageB	122368843
446	Update	TextComponent	UILabel	805949988
446	Update	Canvas	UICanvas	1646508847
446	Update	ImageComponent	UIImageA	267598083
446	Update	ImageComponent	UIImageB	122368843
456	OnEndSimulation	Canvas	UICanvas	1646508847
456	OnRemovingFromScene	Canvas	UICanvas	1646508847
456	OnUninitializing	Canvas	UICanvas	1646508847
456	OnEndSimulation	ImageComponent	UIImageA	267598083
456	OnRemovingFromScene	ImageComponent	UIImageA	267598083
456	OnUninitializing	ImageComponent	UIImageA	267598083
456	OnEndSimulation	ImageComponent	UIImageB	122368843
456	OnRemovingFromScene	ImageComponent	UIImageB	122368843
456	OnUninitializing	ImageComponent	UIImageB	122368843
456	OnEndSimulation	TextComponent	UILabel	805949988
456	OnRemovingFromScene	TextComponent	UILabel	805949988
456	OnUninitializing	TextComponent	UILabel	805949988
456	OnEndSimulation	ScriptComponent	ScriptHostB	567794954
456	OnRemovingFromScene	ScriptComponent	ScriptHostB	567794954
456	OnUninitializing	ScriptComponent	ScriptHostB	567794954
457	OnInitialized	CameraComponent	MainCamera	1884244133
457	OnAddedToScene	CameraComponent	MainCamera	1884244133
457	OnInitialized	LightComponent	SunLight	3946905068
457	OnAddedToScene	LightComponent	SunLight	3946905068
457	OnInitialized	LightComponent	FillLight	2359663533
457	OnAddedToScene	LightComponent	FillLight	2359663533
457	OnInitialized	MeshRenderer	Mesh01	1712233588
457	OnAddedToScene	MeshRenderer	Mesh01	1712233588
457	OnInitialized	MeshRenderer	Mesh02	1912393657
457	OnAddedToScene	MeshRenderer	Mesh02	1912393657
457	OnInitialized	MeshRenderer	Mesh03	2795263208
457	OnAddedToScene	MeshRenderer	Mesh03	2795263208
457	OnInitialized	MeshRenderer	Mesh04	3137442394
457	OnAddedToScene	MeshRenderer	Mesh04	3137442394
457	OnInitialized	MeshRenderer	Mesh05	3635013342
457	OnAddedToScene	MeshRenderer	Mesh05	3635013342
457	OnInitialized	MeshRenderer	Mesh06	2714334196
457	OnAddedToScene	MeshRenderer	Mesh06	2714334196
457	OnInitialized	MeshRenderer	Mesh07	3991657909
457	OnAddedToScene	MeshRenderer	Mesh07	3991657909
457	OnInitialized	MeshRenderer	Mesh08	3185019741
457	OnAddedToScene	MeshRenderer	Mesh08	3185019741
457	OnInitialized	MeshRenderer	Mesh09	828641849
457	OnAddedToScene	MeshRenderer	Mesh09	828641849
457	OnInitialized	MeshRenderer	Mesh10	928807466
457	OnAddedToScene	MeshRenderer	Mesh10	928807466
457	OnInitialized	MeshRenderer	Mesh11	2018740670
457	OnAddedToScene	MeshRenderer	Mesh11	2018740670
457	OnInitialized	MeshRenderer	Mesh12	2159693712
457	OnAddedToScene	MeshRenderer	Mesh12	2159693712
457	OnInitialized	ScriptComponent	ScriptHostA	2111251757
457	OnAddedToScene	ScriptComponent	ScriptHostA	2111251757
457	OnBeginSimulation	ScriptComponent	ScriptHostA	2111251757
578	OnEndSimulation	CameraComponent	MainCamera	1884244133
578	OnRemovingFromScene	CameraComponent	MainCamera	1884244133
