# managed lifecycle trace v1
# hook	object
Initialized	ScriptHostA
AddedToScene	ScriptHostA
Enable	ScriptHostA
BeginSimulation	ScriptHostA
SimulateStart	ScriptHostA
SimulateResume	ScriptHostA
Disable	ScriptHostA
SimulateCancel	ScriptHostA
EndSimulation	ScriptHostA
RemovingFromScene	ScriptHostA
Uninitializing	ScriptHostA
Initialized	ScriptHostB
AddedToScene	ScriptHostB
Enable	ScriptHostB
BeginSimulation	ScriptHostB
SimulateStart	ScriptHostB
SimulateResume	ScriptHostB
Disable	ScriptHostB
SimulateCancel	ScriptHostB
EndSimulation	ScriptHostB
RemovingFromScene	ScriptHostB
Uninitializing	ScriptHostB
Initialized	ScriptHostA
AddedToScene	ScriptHostA
Enable	ScriptHostA
BeginSimulation	ScriptHostA
SimulateStart	ScriptHostA
SimulateResume	ScriptHostA
Disable	ScriptHostA
SimulateCancel	ScriptHostA
EndSimulation	ScriptHostA
RemovingFromScene	ScriptHostA
Uninitializing	ScriptHostA
